Tempo de processamento (perf_counter): 478.7420 segundos

         125429 function calls (125051 primitive calls) in 478.754 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)
        1    0.000    0.000    0.000    0.000 connection.py:515(Pipe)
        1    0.000    0.000    0.000    0.000 secrets.py:48(token_hex)
        2    0.000    0.000    0.000    0.000 threading.py:555(__init__)
      2/1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:394(abspath)
        4    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       57    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1008(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
        1    0.000    0.000    0.000    0.000 threading.py:583(set)
        1    0.000    0.000    0.000    0.000 threading.py:838(Thread)
      2/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        4    0.000    0.000    0.000    0.000 signal.py:70(<genexpr>)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:142(_check_alive)
        2    0.000    0.000    0.000    0.000 enum.py:1748(<listcomp>)
        1    0.000    0.000    0.000    0.000 queues.py:71(_reset)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       98    0.000    0.000    0.000    0.000 enum.py:1147(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:214(socket)
        6    0.000    0.000    0.000    0.000 context.py:237(get_context)
       13    0.000    0.000    0.000    0.000 _parser.py:252(get)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        1    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        9    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:820(SpooledTemporaryFile)
        2    0.000    0.000    0.000    0.000 weakref.py:105(remove)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'release' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
      2/1    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
        4    0.000    0.000    0.000    0.000 process.py:189(name)
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        1    0.000    0.000    0.000    0.000 process.py:399(__init__)
        8    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        2    0.000    0.000    0.000    0.000 signal.py:24(_int_to_enum)
        1    0.000    0.000    0.000    0.000 queues.py:35(Queue)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       34    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 connection.py:114(_ConnectionBase)
       10    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
       49    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
