Tempo de processamento (perf_counter): 1.8002 segundos

         50234 function calls (49020 primitive calls) in 1.815 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       71    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
        2    0.000    0.000    0.000    0.000 __init__.py:361(namedtuple)
     2240    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       51    0.000    0.000    0.000    0.000 enum.py:342(__setitem__)
        3    0.000    0.000    0.000    0.000 synchronize.py:49(__init__)
      513    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      515    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
     1000    0.000    0.000    0.000    0.000 python_pararell_multiprocessing.py:49(taylor_series_sin)
      516    0.000    0.000    0.000    0.000 socket.py:96(<lambda>)
      514    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        2    0.000    0.000    0.000    0.000 context.py:65(Lock)
     1968    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     1208    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      969    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 synchronize.py:175(__init__)
     1824    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(spec_from_file_location)
      180    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      604    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
      609    0.000    0.000    0.000    0.000 threading.py:328(_is_owned)
     2235    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
      608    0.000    0.000    0.000    0.000 threading.py:313(__enter__)
      604    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        4    0.000    0.000    0.000    0.000 process.py:80(__init__)
      608    0.000    0.000    0.000    0.000 threading.py:316(__exit__)
      608    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      157    0.000    0.000    0.000    0.000 enum.py:811(__setattr__)
      705    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 __init__.py:175(CompressionParameter)
        1    0.000    0.000    0.000    0.000 shared_memory.py:238(unlink)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:992(create_module)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        8    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       17    0.000    0.000    0.000    0.000 _compiler.py:248(_optimize_charset)
